date,action,ticker,shares,price,notional,pnl,entry_date,reason
2024-12-19,BUY,XLE,123.4231,40.511,5000.0,,,
2024-12-20,SELL,XLE,123.4231,39.6939,4899.15,-100.85,2024-12-19,rebalance
2025-04-07,BUY,XLE,135.2248,36.9382,4994.96,,,
2025-04-08,SELL,XLE,135.2248,39.056,5281.34,286.38,2025-04-07,rebalance
2025-04-09,BUY,XLE,137.8923,36.3275,5009.28,,,
2025-04-10,SELL,XLE,137.8923,38.8429,5356.14,346.86,2025-04-09,rebalance
2025-04-11,BUY,XLE,134.0937,37.4859,5026.62,,,
2025-04-14,SELL,XLE,134.0937,39.1044,5243.65,217.03,2025-04-11,rebalance
2025-04-15,BUY,XLE,131.3931,38.3389,5037.47,,,
2025-04-16,SELL,XLE,131.3931,38.5137,5060.43,22.96,2025-04-15,rebalance
2025-04-17,BUY,XLE,129.3785,38.9448,5038.62,,,
2025-04-21,SELL,XLE,129.3785,38.8381,5024.81,-13.81,2025-04-17,rebalance
