date,action,ticker,shares,price,notional,pnl,entry_date,reason
2024-02-05,BUY,XLY,58.0383,86.1501,5000.0,,,
2024-02-06,SELL,XLY,58.0383,85.3627,4954.3,-45.7,2024-02-05,rebalance
2024-03-21,BUY,XLY,55.05,90.785,4997.72,,,
2024-03-22,SELL,XLY,55.05,89.6474,4935.09,-62.62,2024-03-21,rebalance
2024-04-29,BUY,XLY,56.5508,88.3203,4994.58,,,
2024-04-30,SELL,XLY,56.5508,87.598,4953.74,-40.84,2024-04-29,rebalance
2024-07-03,BUY,XLY,54.0866,92.3065,4992.54,,,
2024-07-05,SELL,XLY,54.0866,92.9382,5026.71,34.17,2024-07-03,rebalance
2024-07-08,BUY,XLY,53.5814,93.2087,4994.25,,,
2024-07-09,SELL,XLY,53.5814,93.1746,4992.42,-1.83,2024-07-08,rebalance
2024-07-17,BUY,XLY,52.416,95.2793,4994.16,,,
2024-07-18,SELL,XLY,52.416,94.4897,4952.77,-41.39,2024-07-17,rebalance
2024-08-01,BUY,XLY,53.9836,92.4741,4992.09,,,
2024-08-02,SELL,XLY,53.9836,87.1413,4704.2,-287.89,2024-08-01,rebalance
2024-08-14,BUY,XLY,56.7284,87.7461,4977.7,,,
2024-08-15,SELL,XLY,56.7284,88.8602,5040.89,63.2,2024-08-14,rebalance
2024-08-16,BUY,XLY,55.5564,89.6541,4980.85,,,
2024-08-19,SELL,XLY,55.5564,90.4264,5023.76,42.91,2024-08-16,rebalance
2024-08-20,BUY,XLY,54.5161,91.4043,4983.0,,,
2024-08-21,SELL,XLY,54.5161,91.968,5013.73,30.73,2024-08-20,rebalance
2024-08-22,BUY,XLY,53.813,92.6269,4984.54,,,
2024-08-23,SELL,XLY,53.813,91.4853,4923.1,-61.44,2024-08-22,rebalance
2024-09-13,BUY,XLY,52.8046,94.3377,4981.46,,,
2024-09-16,SELL,XLY,52.8046,94.7507,5003.27,21.81,2024-09-13,rebalance
2024-09-20,BUY,XLY,51.3561,97.0197,4982.56,,,
2024-09-23,SELL,XLY,51.3561,97.2806,4995.96,13.4,2024-09-20,rebalance
2024-09-24,BUY,XLY,50.523,98.6328,4983.23,,,
2024-09-25,SELL,XLY,50.523,98.5687,4979.99,-3.24,2024-09-24,rebalance
2024-11-07,BUY,XLY,48.0703,103.662,4983.06,,,
2024-11-08,SELL,XLY,48.0703,104.6688,5031.46,48.4,2024-11-07,rebalance
2024-11-11,BUY,XLY,46.1853,107.9452,4985.48,,,
2024-11-12,SELL,XLY,46.1853,108.0347,4989.62,4.13,2024-11-11,rebalance
2024-11-13,BUY,XLY,46.2953,107.6933,4985.69,,,
2024-11-14,SELL,XLY,46.2953,107.6004,4981.39,-4.3,2024-11-13,rebalance
2024-11-26,BUY,XLY,45.8245,108.7949,4985.48,,,
2024-11-27,SELL,XLY,45.8245,109.3377,5010.35,24.87,2024-11-26,rebalance
2024-12-09,BUY,XLY,43.1109,115.6718,4986.72,,,
2024-12-10,SELL,XLY,43.1109,114.5494,4938.33,-48.39,2024-12-09,rebalance
2024-12-12,BUY,XLY,42.6781,116.7883,4984.3,,,
2024-12-13,SELL,XLY,42.6781,115.7289,4939.09,-45.21,2024-12-12,rebalance
2025-01-16,BUY,XLY,44.3627,112.3025,4982.04,,,
2025-01-17,SELL,XLY,44.3627,113.2485,5024.0,41.96,2025-01-16,rebalance
2025-01-21,BUY,XLY,43.537,114.4804,4984.14,,,
2025-01-22,SELL,XLY,43.537,113.9308,4960.21,-23.93,2025-01-21,rebalance
2025-03-25,BUY,XLY,49.0264,101.6379,4982.94,,,
2025-03-26,SELL,XLY,49.0264,101.8834,4994.98,12.04,2025-03-25,rebalance
2025-04-10,BUY,XLY,52.6167,94.7141,4983.54,,,
2025-04-11,SELL,XLY,52.6167,92.9634,4891.42,-92.12,2025-04-10,rebalance
2025-04-14,BUY,XLY,52.0985,95.5678,4978.94,,,
2025-04-15,SELL,XLY,52.0985,94.1881,4907.06,-71.88,2025-04-14,rebalance
2025-04-24,BUY,XLY,52.6764,94.451,4975.34,,,
2025-04-25,SELL,XLY,52.6764,96.2408,5069.62,94.28,2025-04-24,rebalance
2025-04-28,BUY,XLY,50.5813,98.4564,4980.06,,,
2025-04-29,SELL,XLY,50.5813,97.2622,4919.65,-60.4,2025-04-28,rebalance
2025-04-30,BUY,XLY,51.6361,96.3867,4977.04,,,
2025-05-01,SELL,XLY,51.6361,98.2985,5075.75,98.72,2025-04-30,rebalance
2025-05-13,BUY,XLY,46.9555,106.0998,4981.97,,,
2025-05-14,SELL,XLY,46.9555,107.0152,5024.95,42.98,2025-05-13,rebalance
2025-05-15,BUY,XLY,46.9099,106.2487,4984.12,,,
2025-05-16,SELL,XLY,46.9099,107.278,5032.4,48.28,2025-05-15,rebalance
2025-05-19,BUY,XLY,46.9195,106.2785,4986.54,,,
2025-05-20,SELL,XLY,46.9195,107.873,5061.35,74.81,2025-05-19,rebalance
2025-06-25,BUY,XLY,46.3914,107.5689,4990.28,,,
2025-06-26,SELL,XLY,46.3914,105.9558,4915.44,-74.83,2025-06-25,rebalance
2025-06-30,BUY,XLY,45.8793,108.688,4986.53,,,
2025-07-01,SELL,XLY,45.8793,106.9496,4906.78,-79.76,2025-06-30,rebalance
2025-07-23,BUY,XLY,44.3254,112.4084,4982.55,,,
2025-07-24,SELL,XLY,44.3254,111.0638,4922.95,-59.6,2025-07-23,rebalance
2025-08-14,BUY,XLY,43.8065,113.6718,4979.57,,,
2025-08-15,SELL,XLY,43.8065,114.6761,5023.56,44.0,2025-08-14,rebalance
2025-09-17,BUY,XLY,41.3849,120.3765,4981.77,,,
2025-09-18,SELL,XLY,41.3849,120.5096,4987.27,5.51,2025-09-17,rebalance
2025-10-22,BUY,XLY,41.8889,118.9346,4982.04,,,
2025-10-23,SELL,XLY,41.8889,117.1382,4906.8,-75.25,2025-10-22,rebalance
2025-11-26,BUY,XLY,42.6579,116.7024,4978.28,,,
2025-11-28,SELL,XLY,42.6579,117.2428,5001.33,23.05,2025-11-26,rebalance
2025-12-01,BUY,XLY,42.4683,117.2505,4979.43,,,
2025-12-02,SELL,XLY,42.4683,118.0541,5013.56,34.13,2025-12-01,rebalance
2025-12-16,BUY,XLY,41.0861,121.2365,4981.14,,,
2025-12-17,SELL,XLY,41.0861,121.4837,4991.29,10.16,2025-12-16,rebalance
2026-01-09,BUY,XLY,40.5887,122.7349,4981.65,,,
2026-01-12,SELL,XLY,40.5887,123.5599,5015.13,33.48,2026-01-09,rebalance
2026-01-13,BUY,XLY,40.0774,124.3425,4983.32,,,
2026-01-14,SELL,XLY,40.0774,123.0811,4932.77,-50.55,2026-01-13,rebalance
2026-04-10,BUY,XLY,44.0558,113.0565,4980.79,,,
2026-04-13,SELL,XLY,44.0558,112.2838,4946.75,-34.04,2026-04-10,rebalance
