date,action,ticker,shares,price,notional,pnl,entry_date,reason
2025-01-28,BUY,XLP,64.7305,77.2433,5000.0,,,
2025-01-29,SELL,XLP,64.7305,76.3147,4939.89,-60.11,2025-01-28,rebalance
2025-04-15,BUY,XLP,62.7153,79.6775,4996.99,,,
2025-04-16,SELL,XLP,62.7153,79.1407,4963.33,-33.66,2025-04-15,rebalance
2026-01-13,BUY,XLP,62.5972,79.8009,4995.31,,,
2026-01-14,SELL,XLP,62.5972,80.5859,5044.45,49.14,2026-01-13,rebalance
2026-01-15,BUY,XLP,61.1862,81.6813,4997.77,,,
2026-01-16,SELL,XLP,61.1862,81.6493,4995.81,-1.95,2026-01-15,rebalance
2026-02-04,BUY,XLP,58.1938,85.8798,4997.67,,,
2026-02-05,SELL,XLP,58.1938,87.0463,5065.55,67.88,2026-02-04,rebalance
