date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,99963.6
2024-02-05,99912.71
2024-02-06,99912.71
2024-02-07,99912.71
2024-02-08,99912.71
2024-02-09,99912.71
2024-02-12,99912.71
2024-02-13,99912.71
2024-02-14,99912.71
2024-02-15,99912.71
2024-02-16,99929.04
2024-02-20,99917.53
2024-02-21,99917.53
2024-02-22,99915.85
2024-02-23,99923.9
2024-02-26,99923.9
2024-02-27,99923.9
2024-02-28,99923.9
2024-02-29,99923.9
2024-03-01,99923.9
2024-03-04,99923.9
2024-03-05,99892.05
2024-03-06,99925.25
2024-03-07,99925.25
2024-03-08,99921.18
2024-03-11,99911.64
2024-03-12,99911.64
2024-03-13,99911.64
2024-03-14,99911.64
2024-03-15,99911.64
2024-03-18,99911.64
2024-03-19,99911.64
2024-03-20,99911.64
2024-03-21,99911.64
2024-03-22,99911.64
2024-03-25,99911.64
2024-03-26,99911.64
2024-03-27,99911.64
2024-03-28,99944.38
2024-04-01,99942.63
2024-04-02,99942.63
2024-04-03,99942.63
2024-04-04,99942.63
2024-04-05,99942.63
2024-04-08,99942.63
2024-04-09,99942.63
2024-04-10,99942.63
2024-04-11,99942.63
2024-04-12,99942.63
2024-04-15,99942.63
2024-04-16,99942.63
2024-04-17,99942.63
2024-04-18,99942.63
2024-04-19,99942.63
2024-04-22,99982.86
2024-04-23,99978.05
2024-04-24,100051.55
2024-04-25,100036.86
2024-04-26,99979.83
2024-04-29,100011.7
2024-04-30,100011.7
2024-05-01,100011.7
2024-05-02,100011.7
2024-05-03,100011.7
2024-05-06,100019.4
2024-05-07,100038.01
2024-05-08,100098.91
2024-05-09,100092.78
2024-05-10,100057.51
2024-05-13,100071.75
2024-05-14,100071.75
2024-05-15,100071.75
2024-05-16,100049.27
2024-05-17,100040.58
2024-05-20,100040.58
2024-05-21,100040.58
2024-05-22,100040.58
2024-05-23,100040.58
2024-05-24,100040.58
2024-05-28,100040.58
2024-05-29,100040.58
2024-05-30,100040.58
2024-05-31,100040.58
2024-06-03,99989.18
2024-06-04,99974.32
2024-06-05,99974.32
2024-06-06,99974.32
2024-06-07,99974.32
2024-06-10,99974.32
2024-06-11,99974.32
2024-06-12,99974.32
2024-06-13,99974.32
2024-06-14,99974.32
2024-06-17,99974.32
2024-06-18,99974.32
2024-06-20,99974.32
2024-06-21,99974.32
2024-06-24,99974.32
2024-06-25,99974.32
2024-06-26,99974.32
2024-06-27,99974.32
2024-06-28,99974.32
2024-07-01,99974.32
2024-07-02,99974.32
2024-07-03,99974.32
2024-07-05,99974.32
2024-07-08,99974.32
2024-07-09,99974.32
2024-07-10,99974.32
2024-07-11,99974.32
2024-07-12,99990.82
2024-07-15,99932.04
2024-07-16,99932.04
2024-07-17,99932.04
2024-07-18,99932.04
2024-07-19,99932.04
2024-07-22,99932.04
2024-07-23,99932.04
2024-07-24,99932.04
2024-07-25,99932.04
2024-07-26,99932.04
2024-07-29,99932.04
2024-07-30,99932.04
2024-07-31,99932.04
2024-08-01,100009.66
2024-08-02,100071.46
2024-08-05,99911.44
2024-08-06,99927.78
2024-08-07,99927.78
2024-08-08,99927.78
2024-08-09,99927.78
2024-08-12,99927.78
2024-08-13,99927.78
2024-08-14,99927.78
2024-08-15,99927.78
2024-08-16,99927.78
2024-08-19,99927.78
2024-08-20,99927.78
2024-08-21,99927.78
2024-08-22,99927.78
