date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,100000.0
2024-02-05,100000.0
2024-02-06,100000.0
2024-02-07,100000.0
2024-02-08,100000.0
2024-02-09,100000.0
2024-02-12,100000.0
2024-02-13,100000.0
2024-02-14,100000.0
2024-02-15,100000.0
2024-02-16,100000.0
2024-02-20,100000.0
2024-02-21,100000.0
2024-02-22,100000.0
2024-02-23,100000.0
2024-02-26,100000.0
2024-02-27,99964.99
2024-02-28,99513.69
2024-02-29,100341.09
2024-03-01,101617.88
2024-03-04,100814.0
2024-03-05,100152.8
2024-03-06,100152.8
2024-03-07,100152.8
2024-03-08,100152.8
2024-03-11,100152.8
2024-03-12,100152.8
2024-03-13,100152.8
2024-03-14,100152.8
2024-03-15,100152.8
2024-03-18,100152.8
2024-03-19,100152.8
2024-03-20,100152.8
2024-03-21,100152.8
2024-03-22,100152.8
2024-03-25,100152.8
2024-03-26,100152.8
2024-03-27,100152.8
2024-03-28,100152.8
2024-04-01,100152.8
2024-04-02,100152.8
2024-04-03,100152.8
2024-04-04,100152.8
2024-04-05,100152.8
2024-04-08,100152.8
2024-04-09,100152.8
2024-04-10,100152.8
2024-04-11,100152.8
2024-04-12,100152.8
2024-04-15,100152.8
2024-04-16,100152.8
2024-04-17,100152.8
2024-04-18,100152.8
2024-04-19,100152.8
2024-04-22,100152.8
2024-04-23,100152.8
2024-04-24,100152.8
2024-04-25,100152.8
2024-04-26,100152.8
2024-04-29,100152.8
2024-04-30,98702.92
2024-05-01,98690.33
2024-05-02,99966.16
2024-05-03,101502.02
2024-05-06,102369.19
2024-05-07,102549.47
2024-05-08,102270.45
2024-05-09,103239.62
2024-05-10,103288.28
2024-05-13,103478.16
2024-05-14,104084.2
2024-05-15,105677.21
2024-05-16,105464.65
2024-05-17,105445.17
2024-05-20,105745.99
2024-05-21,105622.77
2024-05-22,105442.61
2024-05-23,104015.31
2024-05-24,104757.29
2024-05-28,104765.39
2024-05-29,104033.32
2024-05-30,103596.94
2024-05-31,104701.18
2024-06-03,104791.41
2024-06-04,104855.57
2024-06-05,106053.78
2024-06-06,106137.86
2024-06-07,105838.73
2024-06-10,106281.26
2024-06-11,105919.42
2024-06-12,105919.42
2024-06-13,105919.42
2024-06-14,105919.42
2024-06-17,105919.42
2024-06-18,105919.42
2024-06-20,105919.42
2024-06-21,105919.42
2024-06-24,105919.42
2024-06-25,105919.42
2024-06-26,105919.42
2024-06-27,105919.42
2024-06-28,105919.42
2024-07-01,105919.42
2024-07-02,105919.42
2024-07-03,105919.42
2024-07-05,105919.42
2024-07-08,105919.42
2024-07-09,105919.42
2024-07-10,105919.42
2024-07-11,105919.42
2024-07-12,105919.42
2024-07-15,105919.42
2024-07-16,105919.42
2024-07-17,105919.42
2024-07-18,105919.42
2024-07-19,105919.42
2024-07-22,105919.42
2024-07-23,105919.42
2024-07-24,105919.42
2024-07-25,105919.42
2024-07-26,105919.42
2024-07-29,105919.42
2024-07-30,105129.69
2024-07-31,107274.25
2024-08-01,104115.74
2024-08-02,100969.25
2024-08-05,98158.27
2024-08-06,99062.15
2024-08-07,98083.34
2024-08-08,100717.03
2024-08-09,101055.0
2024-08-12,101365.9
2024-08-13,102811.38
2024-08-14,103013.22
2024-08-15,105513.19
2024-08-16,105618.38
2024-08-19,106875.6
2024-08-20,106452.91
2024-08-21,107324.65
2024-08-22,105837.52
