date,action,ticker,shares,price,notional,pnl,entry_date,reason
2025-06-02,BUY,XLV,768.9535,130.0469,100000.0,,,
2025-07-01,SELL,XLV,768.9535,132.7867,102106.8,2106.8,2025-06-02,rebalance
2025-07-01,BUY,XLE,2460.1431,41.5044,102106.8,,,
2025-08-01,SELL,XLE,2460.1431,42.4099,104334.49,2227.69,2025-07-01,rebalance
2025-08-01,BUY,XLV,808.2468,129.0874,104334.49,,,
2025-09-02,SELL,XLV,808.2468,135.0659,109166.59,4832.1,2025-08-01,rebalance
2025-09-02,BUY,XLP,1376.2419,79.3222,109166.59,,,
2025-10-01,SELL,XLP,1376.2419,77.1738,106209.87,-2956.72,2025-09-02,rebalance
2025-10-01,BUY,XLP,1374.8663,77.2511,106209.87,,,
2025-11-03,SELL,XLP,1374.8663,75.054,103189.15,-3020.72,2025-10-01,rebalance
2025-11-03,BUY,XLB,2433.5362,42.403,103189.15,,,
2025-12-01,SELL,XLB,2433.5362,44.192,107542.87,4353.72,2025-11-03,rebalance
2025-12-01,BUY,XLU,2420.1407,44.4366,107542.87,,,
2026-01-02,SELL,XLU,2420.1407,42.5709,103027.63,-4515.25,2025-12-01,rebalance
2026-01-02,BUY,XLU,2417.7218,42.6135,103027.63,,,
2026-02-02,SELL,XLU,2417.7218,42.9779,103908.54,880.91,2026-01-02,rebalance
2026-02-02,BUY,XLF,1953.049,53.2032,103908.54,,,
2026-03-02,SELL,XLF,1953.049,50.326,98289.15,-5619.39,2026-02-02,rebalance
2026-03-02,BUY,XLF,1951.0969,50.3764,98289.15,,,
2026-04-01,SELL,XLF,1951.0969,49.7751,97116.04,-1173.1,2026-03-02,rebalance
2026-04-01,BUY,XLI,593.7214,163.5718,97116.04,,,
