date,action,ticker,shares,price,notional,pnl,entry_date,reason
2025-06-02,BUY,XLI,236.7362,140.8037,33333.33,,,
2025-06-02,BUY,XLU,840.1309,39.6764,33333.33,,,
2025-06-02,BUY,XLK,290.9863,114.5529,33333.33,,,
2025-07-01,SELL,XLI,236.7362,145.5722,34462.21,1128.87,2025-06-02,rebalance
2025-07-01,SELL,XLU,840.1309,39.9413,33555.88,222.55,2025-06-02,rebalance
2025-07-01,SELL,XLK,290.9863,125.638,36558.93,3225.59,2025-06-02,rebalance
2025-07-01,BUY,XLK,277.1787,125.7637,34859.01,,,
2025-07-01,BUY,XLI,239.2226,145.7178,34859.01,,,
2025-07-01,BUY,XLC,325.5155,107.0886,34859.01,,,
2025-08-01,SELL,XLK,277.1787,129.3511,35853.36,994.35,2025-07-01,rebalance
2025-08-01,SELL,XLI,239.2226,148.3321,35484.39,625.39,2025-07-01,rebalance
2025-08-01,SELL,XLC,325.5155,105.7247,34415.04,-443.97,2025-07-01,rebalance
2025-08-01,BUY,XLK,272.249,129.4805,35250.93,,,
2025-08-01,BUY,XLI,237.4112,148.4805,35250.93,,,
2025-08-01,BUY,XLC,333.0885,105.8305,35250.93,,,
2025-09-02,SELL,XLK,272.249,128.3207,34935.19,-315.74,2025-08-01,rebalance
2025-09-02,SELL,XLI,237.4112,148.797,35326.08,75.15,2025-08-01,rebalance
2025-09-02,SELL,XLC,333.0885,108.8125,36244.18,993.25,2025-08-01,rebalance
2025-09-02,BUY,XLK,276.3881,128.4491,35501.82,,,
2025-09-02,BUY,XLE,805.9401,44.0502,35501.82,,,
2025-09-02,BUY,XLC,325.94,108.9213,35501.82,,,
2025-10-01,SELL,XLK,276.3881,139.7539,38626.32,3124.5,2025-09-02,rebalance
2025-10-01,SELL,XLE,805.9401,43.7663,35273.02,-228.79,2025-09-02,rebalance
2025-10-01,SELL,XLC,325.94,116.6899,38033.9,2532.09,2025-09-02,rebalance
2025-10-01,BUY,XLK,266.7102,139.8937,37311.08,,,
2025-10-01,BUY,XLY,313.016,119.1987,37311.08,,,
2025-10-01,BUY,XLC,319.426,116.8066,37311.08,,,
2025-11-03,SELL,XLK,266.7102,151.2862,40349.58,3038.5,2025-10-01,rebalance
2025-11-03,SELL,XLY,313.016,120.6624,37769.26,458.18,2025-10-01,rebalance
2025-11-03,SELL,XLC,319.426,114.0979,36445.84,-865.24,2025-10-01,rebalance
2025-11-03,BUY,XLK,252.1714,151.4376,38188.23,,,
2025-11-03,BUY,XLV,267.1567,142.9432,38188.23,,,
2025-11-03,BUY,XLY,316.1719,120.7831,38188.23,,,
2025-12-01,SELL,XLK,252.1714,141.259,35621.47,-2566.76,2025-11-03,rebalance
2025-12-01,SELL,XLV,267.1567,155.656,41584.54,3396.31,2025-11-03,rebalance
2025-12-01,SELL,XLY,316.1719,117.1333,37034.25,-1153.98,2025-11-03,rebalance
2025-12-01,BUY,XLV,244.398,155.8117,38080.09,,,
2025-12-01,BUY,XLK,269.3069,141.4003,38080.09,,,
2025-12-01,BUY,XLU,856.9528,44.4366,38080.09,,,
2026-01-02,SELL,XLV,244.398,154.1588,37676.12,-403.97,2025-12-01,rebalance
2026-01-02,SELL,XLK,269.3069,145.3764,39150.88,1070.8,2025-12-01,rebalance
2026-01-02,SELL,XLU,856.9528,42.5709,36481.27,-1598.81,2025-12-01,rebalance
2026-01-02,BUY,XLV,244.7584,154.3131,37769.42,,,
2026-01-02,BUY,XLK,259.5446,145.5219,37769.42,,,
2026-01-02,BUY,XLF,692.0408,54.5769,37769.42,,,
2026-02-02,SELL,XLV,244.7584,153.8702,37661.02,-108.41,2026-01-02,rebalance
2026-02-02,SELL,XLK,259.5446,143.2801,37187.58,-581.85,2026-01-02,rebalance
2026-02-02,SELL,XLF,692.0408,53.1501,36782.02,-987.41,2026-01-02,rebalance
2026-02-02,BUY,XLE,747.1978,49.7997,37210.2,,,
2026-02-02,BUY,XLB,758.5178,49.0565,37210.2,,,
2026-02-02,BUY,XLP,446.5252,83.3328,37210.2,,,
2026-03-02,SELL,XLE,747.1978,57.3663,42863.97,5653.77,2026-02-02,rebalance
2026-03-02,SELL,XLB,758.5178,52.8086,40056.28,2846.08,2026-02-02,rebalance
2026-03-02,SELL,XLP,446.5252,88.8949,39693.82,2483.62,2026-02-02,rebalance
2026-03-02,BUY,XLE,711.7507,57.4237,40871.36,,,
2026-03-02,BUY,XLB,773.1788,52.8615,40871.36,,,
2026-03-02,BUY,XLI,232.1004,176.0934,40871.36,,,
2026-04-01,SELL,XLE,711.7507,59.6901,42484.5,1613.14,2026-03-02,rebalance
2026-04-01,SELL,XLB,773.1788,50.3148,38902.36,-1969.0,2026-03-02,rebalance
2026-04-01,SELL,XLI,232.1004,163.4083,37927.12,-2944.24,2026-03-02,rebalance
