date,action,ticker,shares,price,notional,pnl,entry_date,reason
2024-03-15,BUY,XLE,117.7497,42.4629,5000.0,,,
2024-03-18,SELL,XLE,117.7497,42.7493,5033.71,33.71,2024-03-15,rebalance
2024-03-19,BUY,XLE,116.9606,42.7639,5001.69,,,
2024-03-20,SELL,XLE,116.9606,42.9649,5025.2,23.51,2024-03-19,rebalance
2024-03-21,BUY,XLE,115.6178,43.2707,5002.86,,,
2024-03-22,SELL,XLE,115.6178,43.429,5021.17,18.31,2024-03-21,rebalance
2024-03-26,BUY,XLE,114.2268,43.8056,5003.78,,,
2024-03-27,SELL,XLE,114.2268,43.2884,4944.69,-59.08,2024-03-26,rebalance
2024-04-01,BUY,XLE,112.5438,44.4344,5000.82,,,
2024-04-02,SELL,XLE,112.5438,44.7791,5039.61,38.79,2024-04-01,rebalance
2024-04-03,BUY,XLE,110.1333,45.4246,5002.76,,,
2024-04-04,SELL,XLE,110.1333,45.5901,5020.99,18.23,2024-04-03,rebalance
2024-04-05,BUY,XLE,109.4299,45.7249,5003.67,,,
2024-04-08,SELL,XLE,109.4299,46.0027,5034.07,30.4,2024-04-05,rebalance
2024-10-04,BUY,XLE,112.7223,44.4029,5005.19,,,
2024-10-07,SELL,XLE,112.7223,44.5538,5022.21,17.02,2024-10-04,rebalance
2024-10-08,BUY,XLE,113.7187,44.0213,5006.04,,,
2024-10-09,SELL,XLE,113.7187,43.0673,4897.55,-108.49,2024-10-08,rebalance
2024-11-19,BUY,XLE,110.112,45.414,5000.62,,,
2024-11-20,SELL,XLE,110.112,45.6116,5022.38,21.76,2024-11-19,rebalance
2024-11-21,BUY,XLE,108.3606,46.158,5001.71,,,
2024-11-22,SELL,XLE,108.3606,46.2119,5007.55,5.84,2024-11-21,rebalance
2024-11-25,BUY,XLE,107.8432,46.3821,5002.0,,,
2024-11-26,SELL,XLE,107.8432,45.4924,4906.05,-95.95,2024-11-25,rebalance
2025-01-14,BUY,XLE,115.335,43.3277,4997.2,,,
2025-01-15,SELL,XLE,115.335,44.0964,5085.86,88.65,2025-01-14,rebalance
2025-01-16,BUY,XLE,112.7221,44.3714,5001.64,,,
2025-01-17,SELL,XLE,112.7221,44.7979,5049.71,48.08,2025-01-16,rebalance
2025-01-21,BUY,XLE,111.0194,45.0735,5004.04,,,
2025-01-22,SELL,XLE,111.0194,44.7738,4970.77,-33.27,2025-01-21,rebalance
2025-03-26,BUY,XLE,109.6789,45.6093,5002.38,,,
2025-03-27,SELL,XLE,109.6789,45.2731,4965.51,-36.86,2025-03-26,rebalance
2025-05-14,BUY,XLE,121.0914,41.2955,5000.53,,,
2025-05-15,SELL,XLE,121.0914,40.7555,4935.14,-65.39,2025-05-14,rebalance
2025-06-16,BUY,XLE,117.3485,42.5848,4997.26,,,
2025-06-17,SELL,XLE,117.3485,42.886,5032.61,35.35,2025-06-16,rebalance
2025-06-18,BUY,XLE,115.9124,43.1276,4999.03,,,
2025-06-20,SELL,XLE,115.9124,42.8182,4963.16,-35.87,2025-06-18,rebalance
2025-06-23,BUY,XLE,114.4343,43.6691,4997.24,,,
2025-06-24,SELL,XLE,114.4343,41.3848,4735.84,-261.39,2025-06-23,rebalance
2026-01-15,BUY,XLE,105.2745,47.3445,4984.17,,,
2026-01-16,SELL,XLE,105.2745,47.2276,4971.87,-12.3,2026-01-15,rebalance
2026-01-22,BUY,XLE,103.1182,48.3285,4983.55,,,
2026-01-23,SELL,XLE,103.1182,49.174,5070.73,87.18,2026-01-22,rebalance
2026-01-26,BUY,XLE,100.6215,49.571,4987.91,,,
2026-01-27,SELL,XLE,100.6215,49.0449,4934.97,-52.95,2026-01-26,rebalance
2026-01-28,BUY,XLE,100.3668,49.6705,4985.26,,,
2026-01-29,SELL,XLE,100.3668,50.7926,5097.89,112.62,2026-01-28,rebalance
2026-01-30,BUY,XLE,99.702,50.0581,4990.89,,,
2026-02-02,SELL,XLE,99.702,49.7499,4960.16,-30.73,2026-01-30,rebalance
2026-02-04,BUY,XLE,96.8631,51.5094,4989.36,,,
2026-02-05,SELL,XLE,96.8631,51.8948,5026.69,37.34,2026-02-04,rebalance
2026-02-06,BUY,XLE,95.6443,52.1853,4991.23,,,
2026-02-09,SELL,XLE,95.6443,52.8382,5053.67,62.44,2026-02-06,rebalance
2026-02-10,BUY,XLE,93.4437,53.4477,4994.35,,,
2026-02-11,SELL,XLE,93.4437,53.9007,5036.68,42.33,2026-02-10,rebalance
2026-02-12,BUY,XLE,91.4925,54.6107,4996.46,,,
2026-02-13,SELL,XLE,91.4925,53.5631,4900.62,-95.85,2026-02-12,rebalance
2026-02-17,BUY,XLE,92.0413,54.2329,4991.67,,,
2026-02-18,SELL,XLE,92.0413,54.1489,4983.94,-7.73,2026-02-17,rebalance
2026-02-19,BUY,XLE,90.5407,55.1275,4991.28,,,
2026-02-20,SELL,XLE,90.5407,54.6157,4944.94,-46.35,2026-02-19,rebalance
2026-03-03,BUY,XLE,87.4552,57.046,4988.97,,,
2026-03-04,SELL,XLE,87.4552,55.6683,4868.48,-120.49,2026-03-03,rebalance
2026-03-20,BUY,XLE,84.1671,59.203,4982.94,,,
2026-03-23,SELL,XLE,84.1671,57.8611,4870.0,-112.94,2026-03-20,rebalance
2026-03-24,BUY,XLE,83.1908,59.8299,4977.3,,,
