date,action,ticker,shares,price,notional,pnl,entry_date,reason
2024-04-15,BUY,XLF,127.001,39.3698,5000.0,,,
2024-04-16,SELL,XLF,127.001,38.6617,4910.07,-89.93,2024-04-15,rebalance
2024-04-17,BUY,XLF,129.4711,38.5839,4995.5,,,
2024-04-18,SELL,XLF,129.4711,38.6423,5003.06,7.56,2024-04-17,rebalance
2024-08-05,BUY,XLF,124.6754,40.0711,4995.88,,,
2024-08-06,SELL,XLF,124.6754,39.9143,4976.33,-19.55,2024-08-05,rebalance
2024-08-07,BUY,XLF,122.215,40.8698,4994.9,,,
2024-08-08,SELL,XLF,122.215,40.6927,4973.26,-21.64,2024-08-07,rebalance
2024-09-09,BUY,XLF,114.673,43.5483,4993.82,,,
2024-09-10,SELL,XLF,114.673,43.8843,5032.35,38.53,2024-09-09,rebalance
2024-12-19,BUY,XLF,106.0925,47.0886,4995.75,,,
2024-12-20,SELL,XLF,106.0925,46.5826,4942.06,-53.69,2024-12-19,rebalance
2025-01-13,BUY,XLF,108.0297,46.2194,4993.06,,,
2025-01-14,SELL,XLF,108.0297,46.9283,5069.65,76.59,2025-01-13,rebalance
2025-02-24,BUY,XLF,99.8223,50.0579,4996.89,,,
2025-02-25,SELL,XLF,99.8223,50.2825,5019.31,22.42,2025-02-24,rebalance
2025-03-05,BUY,XLF,101.944,49.0271,4998.01,,,
2025-03-06,SELL,XLF,101.944,48.6642,4961.02,-36.99,2025-03-05,rebalance
2025-03-07,BUY,XLF,103.439,48.3006,4996.16,,,
2025-03-10,SELL,XLF,103.439,47.3599,4898.85,-97.31,2025-03-07,rebalance
2025-03-11,BUY,XLF,106.0322,47.0734,4991.3,,,
2025-03-12,SELL,XLF,106.0322,47.1931,5003.99,12.69,2025-03-11,rebalance
2025-03-13,BUY,XLF,106.3784,46.9262,4991.93,,,
2025-03-14,SELL,XLF,106.3784,46.9479,4994.25,2.31,2025-03-13,rebalance
2025-04-04,BUY,XLF,109.9762,45.3921,4992.05,,,
2025-04-07,SELL,XLF,109.9762,42.1674,4637.41,-354.64,2025-04-04,rebalance
2025-04-08,BUY,XLF,110.2316,45.1261,4974.32,,,
2025-04-09,SELL,XLF,110.2316,42.5612,4691.58,-282.73,2025-04-08,rebalance
2025-04-22,BUY,XLF,108.6374,45.6581,4960.18,,,
2025-04-23,SELL,XLF,108.6374,47.2858,5137.01,176.83,2025-04-22,rebalance
2025-05-22,BUY,XLF,100.5028,49.4416,4969.02,,,
2025-05-23,SELL,XLF,100.5028,48.8115,4905.69,-63.33,2025-05-22,rebalance
2025-06-16,BUY,XLF,100.1593,49.5796,4965.86,,,
2025-06-17,SELL,XLF,100.1593,49.4808,4955.96,-9.89,2025-06-16,rebalance
2025-08-04,BUY,XLF,97.3315,51.015,4965.36,,,
2025-08-05,SELL,XLF,97.3315,51.4084,5003.66,38.3,2025-08-04,rebalance
2025-10-13,BUY,XLF,95.2951,52.1252,4967.28,,,
2025-10-14,SELL,XLF,95.2951,51.974,4952.87,-14.41,2025-10-13,rebalance
2025-10-17,BUY,XLF,96.4746,51.4805,4966.56,,,
2025-10-20,SELL,XLF,96.4746,51.8848,5005.57,39.01,2025-10-17,rebalance
2025-11-18,BUY,XLF,97.6793,50.8655,4968.51,,,
2025-11-19,SELL,XLF,97.6793,50.9137,4973.22,4.71,2025-11-18,rebalance
2026-01-14,BUY,XLF,92.355,53.8005,4968.74,,,
2026-01-15,SELL,XLF,92.355,53.9157,4979.39,10.65,2026-01-14,rebalance
2026-01-21,BUY,XLF,93.5417,53.1236,4969.27,,,
2026-01-22,SELL,XLF,93.5417,53.3489,4990.35,21.08,2026-01-21,rebalance
2026-02-13,BUY,XLF,96.8648,51.312,4970.33,,,
2026-02-17,SELL,XLF,96.8648,51.5292,4991.37,21.04,2026-02-13,rebalance
2026-02-24,BUY,XLF,98.9978,50.2171,4971.38,,,
2026-02-25,SELL,XLF,98.9978,50.9525,5044.18,72.8,2026-02-24,rebalance
2026-03-12,BUY,XLF,102.0436,48.7539,4975.02,,,
2026-03-13,SELL,XLF,102.0436,48.8344,4983.24,8.22,2026-03-12,rebalance
2026-03-30,BUY,XLF,103.1089,48.2541,4975.43,,,
2026-03-31,SELL,XLF,103.1089,48.8955,5041.57,66.14,2026-03-30,rebalance
